Names,Frequency,Years,Gender,Rank
ANTHONY,3949,1992,M,263.0
WILLIAM,3943,1960,M,264.0
ASHLEY,3931,1985,F,265.0
ASHLEY,3926,1992,F,266.0
CHRISTOP*,3923,1970,M,267.0
ANTHONY,3918,2003,M,268.0
ROBERT,3916,1972,M,269.0
STEVEN,3914,1962,M,270.0
ANDREW,3911,1993,M,271.0
ANTHONY,3908,1990,M,272.0
AMANDA,3902,1987,F,273.0
DANIEL,3902,2005,M,273.0
ANTHONY,3901,1995,M,275.0
CHRISTOP*,3897,1974,M,276.0
CHRISTOPHER,3896,1996,M,277.0
JAMES,3892,1971,M,278.0
JASON,3891,1970,M,279.0
CHRISTOP*,3882,1976,M,280.0
ANTHONY,3864,1998,M,281.0
CHRISTOP*,3858,1975,M,282.0
ANTHONY,3856,1994,M,283.0
ANTHONY,3854,1997,M,284.0
DANIEL,3848,2007,M,285.0
JENNIFER,3846,1988,F,286.0
ANTHONY,3845,1996,M,287.0
JOSE,3836,1999,M,288.0
MATTHEW,3831,1981,M,289.0
ANTHONY,3823,2000,M,290.0
ANTHONY,3821,1993,M,291.0
AMANDA,3818,1988,F,292.0
JONATHAN,3817,1992,M,293.0
DANIEL,3810,2006,M,294.0
AMANDA,3809,1989,F,295.0
JESSICA,3804,1996,F,296.0
AMANDA,3803,1990,F,297.0
ANTHONY,3801,2001,M,298.0
ANTHONY,3799,2004,M,299.0
ANTHONY,3786,1999,M,300.0
ANTHONY,3773,2007,M,301.0
JOSE,3773,2000,M,301.0
STEPHANIE,3771,1992,F,303.0
ANTHONY,3770,2006,M,304.0
RICHARD,3767,1966,M,305.0
WILLIAM,3763,1961,M,306.0
JOSHUA,3760,1987,M,307.0
STEVEN,3759,1963,M,308.0
ANDREW,3756,1994,M,309.0
ANTHONY,3755,2002,M,310.0
MATTHEW,3743,1993,M,311.0
ROBERT,3743,1981,M,311.0
DANIEL,3734,2008,M,313.0
WILLIAM,3727,1962,M,314.0
JOSHUA,3725,1992,M,315.0
ANTHONY,3721,2005,M,316.0
MICHAEL,3721,1999,M,316.0
ANGEL,3720,2006,M,318.0
ROBERT,3711,1986,M,319.0
JASON,3708,1981,M,320.0
ANTHONY,3705,1989,M,321.0
JESSICA,3702,1981,F,322.0
ROBERT,3699,1989,M,323.0
LISA,3698,1962,F,324.0
CHRISTOP*,3696,1973,M,325.0
ROBERT,3694,1985,M,326.0
JOSHUA,3683,1993,M,327.0
CHRISTOPHER,3680,1997,M,328.0
RICHARD,3680,1967,M,328.0
JOSHUA,3673,1985,M,330.0
DAVID,3669,1997,M,331.0
WILLIAM,3662,1963,M,332.0
ROBERT,3651,1982,M,333.0
ROBERT,3641,1988,M,334.0
ANTHONY,3624,2008,M,335.0
SOPHIA,3621,2012,F,336.0
RYAN,3615,1990,M,337.0
WILLIAM,3615,1964,M,337.0
MICHELLE*,3610,1968,F,339.0
ANDREW,3609,1995,M,340.0
MICHELLE*,3608,1969,F,341.0
STEVEN,3605,1964,M,342.0
ROBERT,3599,1983,M,343.0
JASON,3592,1982,M,344.0
JENNIFER,3586,1990,F,345.0
ANTHONY,3581,1988,M,346.0
ANDREW,3577,1999,M,347.0
ANDREW,3572,2000,M,348.0
KEVIN,3570,1993,M,349.0
ROBERT,3566,1987,M,350.0
RYAN,3566,1985,M,350.0
JONATHAN,3562,1989,M,352.0
ROBERT,3561,1990,M,353.0
RICHARD,3560,1968,M,354.0
LISA,3552,1970,F,355.0
ANGEL,3551,2005,M,356.0
