Names,Frequency,Years,Gender,Rank
DOMINIC ,41,2022,M,374.0
GAVIN ,41,2022,M,374.0
GEORGE ,41,2022,M,374.0
JACE ,41,2021,M,374.0
JOSEPHINE ,41,2021,F,374.0
MATTEO ,41,2021,M,374.0
RHETT ,41,2022,M,374.0
RILEY ,41,2021,F,374.0
RIVER ,41,2021,M,374.0
AUTUMN ,40,2021,F,385.0
EASTON ,40,2022,M,385.0
GIANNA ,40,2021,F,385.0
JUDE ,40,2022,M,385.0
MAX ,40,2022,M,385.0
MILLIE ,40,2022,F,385.0
PARKER ,40,2021,F,385.0
PEYTON ,40,2021,F,385.0
RYDER ,40,2021,M,385.0
SLOANE ,40,2022,F,385.0
AARON ,39,2021,M,395.0
BODHI ,39,2021,M,395.0
ELLIOT ,39,2022,M,395.0
GIANNA ,39,2022,F,395.0
IBRAHIM ,39,2021,M,395.0
JAXSON ,39,2021,M,395.0
LUKA ,39,2021,M,395.0
MACKENZIE ,39,2021,F,395.0
MARIA ,39,2021,F,395.0
MICAH ,39,2022,M,395.0
OAKLYNN ,39,2022,F,395.0
RILEY ,39,2021,M,395.0
SAWYER ,39,2022,F,395.0
SIMON ,39,2022,M,395.0
ARLO ,38,2021,M,409.0
ATLAS ,38,2022,M,409.0
CARSON ,38,2021,M,409.0
CASEY ,38,2022,M,409.0
COHEN ,38,2022,M,409.0
EVERLEIGH ,38,2022,F,409.0
FINLEY ,38,2021,M,409.0
KAYDEN ,38,2021,M,409.0
KAYDEN ,38,2022,M,409.0
LEON,38,2022,M,409.0
MOHAMED,38,2022,M,409.0
ZAYN ,38,2022,M,409.0
AUBREY ,37,2022,F,421.0
BOWEN ,37,2021,M,421.0
CHARLES ,37,2022,M,421.0
GAVIN ,37,2021,M,421.0
LYDIA ,37,2021,F,421.0
ROMAN ,37,2021,M,421.0
AMARA ,36,2022,F,427.0
ARCHER ,36,2022,M,427.0
ASHTON ,36,2021,M,427.0
AUGUST ,36,2021,M,427.0
CAMERON ,36,2021,M,427.0
ELENA,36,2022,F,427.0
MADELINE ,36,2021,F,427.0
MILO,36,2022,M,427.0
MOHAMED,36,2021,M,427.0
OAKLYNN ,36,2021,F,427.0
SARAH ,36,2021,F,427.0
ADELINE ,35,2021,F,438.0
AMIR ,35,2021,M,438.0
ANTHONY ,35,2021,M,438.0
ASPEN ,35,2021,F,438.0
CHRISTIAN ,35,2021,M,438.0
GABRIELLA ,35,2021,F,438.0
HARLOW ,35,2021,F,438.0
MAXWELL ,35,2021,M,438.0
PIPER ,35,2022,F,438.0
ZANE ,35,2022,M,438.0
AARON,34,2022,M,448.0
AXEL ,34,2022,M,448.0
HAYES ,34,2022,M,448.0
HENDRIX ,34,2021,M,448.0
IRIS ,34,2021,F,448.0
JOSIAH ,34,2021,M,448.0
JULIAN ,34,2022,M,448.0
KAIDEN ,34,2021,M,448.0
LEAH,34,2022,F,448.0
MAEVE ,34,2022,F,448.0
PEYTON ,34,2022,F,448.0
VICTORIA,34,2022,F,448.0
XAVIER ,34,2021,M,448.0
BELLA ,33,2021,F,461.0
BENTLEY ,33,2022,M,461.0
COLE ,33,2021,M,461.0
EZEKIEL ,33,2022,M,461.0
HAYDEN ,33,2022,M,461.0
JACE ,33,2022,M,461.0
JASMINE ,33,2021,F,461.0
KABIR ,33,2022,M,461.0
MADELYN ,33,2021,F,461.0
RILEY ,33,2022,M,461.0
RILEY ,33,2022,F,461.0
ROSE ,33,2021,F,461.0
AMARA ,32,2021,F,473.0
BLAKELY ,32,2021,F,473.0
BRIAR ,32,2021,F,473.0
EMERSYN ,32,2021,F,473.0
JADE ,32,2021,F,473.0
JAMESON ,32,2021,M,473.0
JONATHAN ,32,2021,M,473.0
JUNE ,32,2021,F,473.0
MADDOX ,32,2021,M,473.0
MALCOLM ,32,2021,M,473.0
MILLIE ,32,2021,F,473.0
MYLA ,32,2022,F,473.0
OSCAR ,32,2021,M,473.0
RIVER ,32,2022,M,473.0
SIMON ,32,2021,M,473.0
WAYLON ,32,2022,M,473.0
ADRIAN,31,2021,M,489.0
AHMED ,31,2021,M,489.0
AMBER ,31,2022,F,489.0
BARRETT ,31,2022,M,489.0
CALLIE ,31,2021,F,489.0
COLTON ,31,2021,M,489.0
DYLAN ,31,2022,M,489.0
EASTON ,31,2021,M,489.0
ELOISE ,31,2022,F,489.0
EMERSON ,31,2022,M,489.0
GREYSON ,31,2022,M,489.0
HADLEY ,31,2021,F,489.0
HADLEY ,31,2022,F,489.0
HAMZA ,31,2022,M,489.0
HAYES ,31,2021,M,489.0
JADE ,31,2022,F,489.0
JONATHAN ,31,2022,M,489.0
LYLA ,31,2022,F,489.0
MATTEO ,31,2022,M,489.0
NORAH ,31,2022,F,489.0
OAKLYN ,31,2021,F,489.0
REHMAT ,31,2022,F,489.0
SARA ,31,2021,F,489.0
SETH ,31,2021,M,489.0
ZANE ,31,2021,M,489.0
AHMED ,30,2022,M,514.0
AMIRA ,30,2022,F,514.0
ANASTASIA ,30,2021,F,514.0
ASHTON ,30,2022,M,514.0
BLAKE ,30,2021,M,514.0
EMBER ,30,2022,F,514.0
EVERLEIGH ,30,2021,F,514.0
HARLOW ,30,2022,F,514.0
JASON ,30,2022,M,514.0
JEREMIAH ,30,2021,M,514.0
LILLIAN,30,2021,F,514.0
PAIGE ,30,2022,F,514.0
TOBIAS ,30,2021,M,514.0
ZION,30,2022,M,514.0
ALINA,29,2022,F,528.0
AMIR ,29,2022,M,528.0
BECKETT ,29,2022,M,528.0
BOWEN ,29,2022,M,528.0
CASEY ,29,2021,M,528.0
EMERY ,29,2022,F,528.0
ENZO ,29,2022,M,528.0
FATIMA ,29,2022,F,528.0
GRACIE ,29,2022,F,528.0
IBRAHIM,29,2022,M,528.0
JAXSON ,29,2022,M,528.0
KEVIN ,29,2021,M,528.0
LEON ,29,2021,M,528.0
LUKAS,29,2021,M,528.0
MOLLY ,29,2021,F,528.0
OLIVE ,29,2022,F,528.0
OSCAR ,29,2022,M,528.0
PRESLEY ,29,2021,F,528.0
RORY ,29,2021,M,528.0
WAYLON ,29,2021,M,528.0
AALIYAH ,28,2022,F,548.0
ADA ,28,2021,F,548.0
ADELAIDE ,28,2021,F,548.0
AMIRA ,28,2021,F,548.0
ARYA,28,2021,F,548.0
BARRETT ,28,2021,M,548.0
COLTON ,28,2022,M,548.0
DELILAH ,28,2021,F,548.0
ELLIOTT ,28,2022,M,548.0
EMERSON ,28,2021,M,548.0
JAKE ,28,2021,M,548.0
JAKE ,28,2022,M,548.0
JOSEPHINE ,28,2022,F,548.0
JULIAN ,28,2021,M,548.0
JUNIPER ,28,2022,F,548.0
KABIR ,28,2021,M,548.0
KAIA ,28,2021,F,548.0
LYDIA ,28,2022,F,548.0
MAISIE ,28,2021,F,548.0
MAISIE ,28,2022,F,548.0
MALCOLM ,28,2022,M,548.0
MAXWELL ,28,2022,M,548.0
